mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,delta_mean_0,delta_mean_1,delta_mean_2,delta_mean_3,delta_mean_4,delta_mean_5,delta_mean_6,delta_mean_7,delta_mean_8,delta_mean_9,delta_mean_10,delta_mean_11,delta_mean_12,delta_std_0,delta_std_1,delta_std_2,delta_std_3,delta_std_4,delta_std_5,delta_std_6,delta_std_7,delta_std_8,delta_std_9,delta_std_10,delta_std_11,delta_std_12,delta2_mean_0,delta2_mean_1,delta2_mean_2,delta2_mean_3,delta2_mean_4,delta2_mean_5,delta2_mean_6,delta2_mean_7,delta2_mean_8,delta2_mean_9,delta2_mean_10,delta2_mean_11,delta2_mean_12,delta2_std_0,delta2_std_1,delta2_std_2,delta2_std_3,delta2_std_4,delta2_std_5,delta2_std_6,delta2_std_7,delta2_std_8,delta2_std_9,delta2_std_10,delta2_std_11,delta2_std_12,rmse_mean,rmse_std,spec_mean,spec_std,mel_mean,mel_std,emotion
0.34198368,-0.3749342,-1.0958683,0.20921679,-1.1316696,-0.6235186,0.41216052,0.37965173,0.7253161,-0.47334945,-0.14785124,-0.21267849,-0.3919659,0.45618865,0.3000346,0.4691371,-0.017358162,-1.6741446,-0.12416277,1.4826444,-0.25171563,1.0506943,0.408928,0.07968044,-0.17974341,1.5097914,0.3201354,0.2365054,1.8679947,-0.14241074,0.32641107,-0.94829005,-0.18956864,0.88209873,-0.19155222,-1.8690827,-0.54702777,-0.47582504,-1.0166363,0.85252684,-0.04217863,0.32493252,0.023060752,-0.9701346,-0.18165779,1.1061827,0.25578323,0.76065654,0.8383549,-0.6882309,-0.17000197,1.3350989,0.10056608,0.48641396,0.25619152,-0.8287274,0.18536822,1.4829572,-1.0478939,0.25909364,-0.8340248,1.3430365,0.89735013,-0.12981552,1.6098703,0.7738936,-0.06861706,-0.45358065,0.37876037,-0.35336906,1.2802125,0.033214245,-1.2819465,-0.93114066,0.45821074,-0.75732213,-0.23159215,0.009691866,-0.36906752,-0.5104949,0.33936256,0.6088822,0.3419831,0.079955965,surprised
0.28640038,0.9349778,-0.85601735,0.11538362,-0.8929515,-0.08229393,-0.2446313,-0.44058946,0.44581228,0.47039986,-0.40351558,0.4054079,-0.8955567,-0.78317827,0.1520295,0.6508083,0.72352993,-1.1869814,-0.9902539,0.090800464,-0.8710854,1.0690533,-0.21333407,-0.72665477,-0.41469792,0.37694243,0.82342577,1.9762963,-0.72418326,-0.077682346,1.3880757,-0.6429107,-1.857665,-0.5727788,2.5338852,-0.11155338,-1.8705812,-0.18850455,-0.8283557,0.094420135,-0.22716933,1.3001497,0.88108104,-0.75522333,-0.60507286,-0.17347392,-0.33660832,1.3636252,0.86306304,-1.075042,-0.19863646,0.94115055,-1.4709806,-0.3781532,-0.16559565,-0.4058982,1.1483217,0.27138388,1.6183435,1.4698274,0.64294654,-0.77860713,0.39185795,0.5235282,0.7213099,0.06803055,-0.65051275,1.2388121,0.9137442,-0.62054396,-0.5801661,-0.072303355,-0.51560736,0.98859304,0.24016814,-0.47249737,-0.4254183,1.848633,-0.42103815,-0.68659276,-0.31329277,0.19876932,0.28639996,-0.31338403,neutral
-0.030732883,0.01744493,-0.5594915,-0.07836413,-1.5311631,0.5490454,0.09952137,-0.5868621,0.3107387,0.7453097,-0.38706902,0.33032486,-1.002998,-0.85118735,0.3032438,0.7771455,1.6706692,-0.53557533,0.37410265,0.22801226,1.1689274,0.367079,0.41407397,-0.36891147,0.016498396,0.28643826,0.6810051,0.32894948,-1.6050432,0.6262184,0.4766566,-0.61374843,0.36698657,0.15899584,0.5070043,-0.4304105,-0.19455333,-0.9243381,-0.21595673,-0.9664372,0.5797922,0.8739302,1.1712689,-0.496722,0.36791483,-0.38231528,0.7845576,-0.74561757,0.3855165,-0.14599086,0.39184287,0.6507473,0.92873967,1.8063062,0.0065926765,-0.576484,-0.26322824,-0.84226996,-1.5630227,-1.8405551,-0.93078613,-0.4223974,-0.57885784,-0.90129817,-1.4872886,-0.5871786,-0.11978833,0.91079634,0.9571953,-0.2551676,0.16143389,-0.23341002,0.560034,-0.6626659,0.75558114,-0.11784832,1.2393037,0.51304567,-1.0868326,-0.7136737,-0.2655724,-0.3285327,-0.03073303,-1.0595459,disgust
0.8113684,0.71508086,-0.69748014,0.4713092,-1.5603569,0.751617,-0.27975598,-0.7644075,-0.005955664,0.31761733,-0.8694081,0.42608672,-1.3502113,-1.074235,0.30834657,0.15743,0.8722531,-0.08075551,-0.47073853,-0.15328765,1.5842382,-0.059072316,0.9404789,-0.8507776,0.115232915,-0.3835907,0.2172081,1.6946229,-1.633297,-0.074143276,0.7479378,-0.4307176,0.38139543,0.90597385,1.4312395,-1.2310995,1.2699026,1.2822026,-0.61890143,-0.68743086,0.4032748,0.26615167,0.061939657,0.04033946,-0.5679056,-0.83139914,1.798821,-0.52905536,1.6475018,-0.7828728,-0.05266801,-0.060723655,-0.14797622,1.9641721,-1.370211,0.08695007,0.34513488,-1.2795548,-1.2882854,-1.5139784,-0.43167952,0.86483514,-0.24516693,0.82669085,-0.77527016,-0.8875842,1.1213421,1.4064102,0.5919152,-0.22536983,-0.25008956,-0.5511149,1.8732587,0.34490344,1.6861783,-0.09536103,0.86396545,-0.17072621,-0.23230599,-0.5335508,0.29741952,0.44243976,0.8113686,-0.7743424,disgust
0.1469055,0.8050888,-0.89858973,-0.5069846,-0.9737809,-0.017996874,-0.40171957,-0.65553844,0.027248902,-0.014662161,-0.55313486,0.124434374,-1.22313,-0.9364276,0.926499,2.2733932,0.5132617,-0.49243912,-0.4811803,0.36236015,-1.3855455,0.2855071,0.57641554,-1.3863038,0.5752772,0.4012996,-1.0393995,0.17655142,0.18416192,-1.027437,1.1945496,0.025117857,1.162691,1.0474712,0.6054824,0.7712006,-0.7937261,-1.4570125,0.2474963,-0.5042245,1.1662022,2.2516105,0.5729441,-0.42292336,-0.2928264,1.2844447,-0.8049266,0.2848304,0.44690293,-1.7674445,0.7428536,0.67957926,-0.46324953,-1.1182699,0.79314023,1.0942848,0.35124782,1.5774415,0.42395112,1.265018,-0.23539491,-1.5704509,0.76339895,0.03847431,3.7728055,-0.634825,1.3208281,1.4246694,-0.26266405,-0.29640287,0.077019535,0.40115166,0.29527497,-0.07659401,0.5962019,0.113954484,-0.29388177,0.7188353,-0.35743758,-0.53412676,-0.4488819,0.87309533,0.14690527,-0.004248614,neutral
-0.018820662,-2.0097196,-1.9415158,-1.8409637,-1.8118662,-1.2961845,-0.20513247,-0.94259685,-0.50715274,-1.3569689,-1.6028193,0.037759956,-2.1239119,-1.2186518,-0.70085084,1.8771349,-0.77057177,-0.8300982,-0.4656702,0.07179286,-1.4529388,0.2976449,-0.009106092,0.15748605,0.6359452,2.3763502,0.5929479,0.35644928,-2.790506,-0.24422084,-0.06156381,-2.2393527,1.8616076,-1.1651251,-0.06710663,-1.0250846,-2.0474675,-1.9696397,0.6085133,-0.59369236,-0.50283176,2.3650544,0.21144864,-0.6810906,-0.6733396,1.1513056,-1.0034512,0.41935673,0.07549878,-0.85266477,0.82806516,2.610461,-0.7985399,0.23385221,1.1510242,-0.052570242,-0.25388607,0.5835002,-0.6922595,0.2724831,0.73907363,0.25666934,1.0649649,0.24691555,1.6742225,-0.5920934,-0.27627113,1.2870399,-0.6024231,-0.4504115,-0.19410561,1.1795914,-0.8719103,-0.7213456,-0.43626413,-1.0595826,0.17196442,1.6605219,-0.2836365,-1.1369839,0.3979972,-0.822166,-0.01882025,-1.1528647,fearful
-0.7597026,0.33032516,0.05916944,-0.15094937,-0.62114364,0.12640195,-0.82443595,-0.7815311,0.57840276,-0.05995479,-0.7313697,0.07869845,-1.1691803,-1.0302465,-0.38741192,0.52175677,-0.12284223,-1.1080436,-1.1572182,-0.52539605,-0.9387762,0.10667963,-0.25978994,-1.7879877,0.18197674,-0.13612795,0.13856022,-0.32894573,-0.080982246,-0.5650854,1.0755845,-0.25631097,0.63545084,1.6464415,-1.5891988,-0.3114389,-0.4375817,-1.0608329,-0.037057996,-1.3519964,-0.10722236,0.72080714,0.3852789,-1.4137652,-0.88690853,0.3079366,-0.4121935,0.219199,-0.2841256,-1.3944262,0.019712139,0.13661048,-0.5493577,-0.7860192,0.5243895,0.23052417,0.0044064503,0.008518846,0.33016726,-0.31991065,-0.46948293,0.27885726,1.4652435,2.1344461,2.0572944,-0.6915934,0.32923394,0.42176035,0.45488897,-0.78230184,-0.59895813,0.61482096,0.21465766,-0.12162114,-0.20058697,-0.5786381,-0.35698652,-0.076539084,-0.6270272,-0.7364601,-0.95073885,-1.5945747,-0.7597027,-0.71930254,sad
-0.35379,0.12866476,-0.6873145,0.53382444,-0.90946245,0.2250396,-0.05303352,0.14642718,0.894526,0.15248723,0.121553585,0.3787969,-0.7853612,0.80494267,0.96866614,0.8774397,0.88772064,-0.4028587,-0.44288772,0.16457182,-0.9167395,0.35302475,-0.14571339,-1.4013685,-0.44175592,0.67537624,0.87240946,1.5648844,-0.4810662,0.4523394,2.751776,-2.0082035,0.5637625,0.6626459,-0.41285658,-0.6861305,-0.7479895,-0.93246,-0.11778273,0.8578683,-0.08255233,0.85968196,1.6696188,-0.56788707,-0.7328615,-0.034888387,-0.6345226,1.0560603,0.28861368,-2.0781863,-0.11311082,0.42066026,1.0479755,0.10046106,-0.34015098,-0.23600164,-0.9627409,0.36874405,-0.40092847,-0.75036705,-0.8373368,0.2824662,0.53323686,0.7217771,-0.17657888,0.041513044,-0.4319414,1.3338535,1.0112674,-0.45135197,-0.6433054,-0.9219112,-0.4640727,0.63093126,0.25565615,-1.4814887,-0.33569148,1.1779948,-0.39052188,0.043848712,-0.5527684,0.4082954,-0.3537904,0.9880117,neutral
0.40736717,0.37766036,-0.31944984,0.41523364,-0.744601,0.42121616,0.21644476,-0.1601123,0.9934866,-0.09747413,0.10461566,-0.80669963,-0.6773396,-1.0645344,-1.1406947,0.3883984,-0.3001388,-0.45724452,-0.4869995,0.10143651,-1.879579,-0.000100666926,-0.15762392,-0.86317664,-0.033515204,-0.40026322,-0.046181068,0.57047504,-0.45519277,0.38324004,1.3323003,-0.60617244,-0.94690007,0.52656794,0.5366199,-1.4945084,-0.37056053,-0.37472367,-0.30306482,-1.1902013,-0.6561173,0.53606963,-0.068926334,-0.9550005,-0.0030704017,-0.21522775,-1.6263174,-0.2616769,0.68146574,-1.2074314,-0.110201634,0.077742115,0.2908851,0.40390474,-0.69962305,-0.9077874,-0.33005968,0.1945699,0.6711355,-1.1759576,-0.14882061,0.0143229095,1.0907487,0.51825327,0.48151773,-0.9176109,-0.8541265,0.26022622,-0.23779495,-0.95622027,-0.3760601,-0.1178609,-1.3791229,-0.5964471,0.18947168,-0.39316294,-0.39844283,-0.8978024,0.6645446,0.5354619,0.12777932,-1.1662513,0.40736666,-1.1221173,calm
-0.123559885,0.39452708,-1.8182857,0.4133841,-1.1528925,-0.3233654,0.28671202,-1.1456096,0.6540275,-0.40838122,-0.56444675,0.43880132,-1.8598324,-0.87436354,-0.2793044,1.1203477,0.23512432,-0.43561918,-0.24127701,0.73337746,-0.6687609,0.86593395,-0.18281013,-0.2743264,0.6120886,0.4309073,-0.23273818,1.6938617,-0.1873151,-0.70906097,1.039431,-0.825898,-1.3482548,0.12103234,3.4515328,-0.25909156,-2.220975,-1.6794311,-0.81411314,0.36009946,-1.4768778,1.3059795,0.12125035,0.30497068,-0.23493789,0.23380493,-0.31935164,0.35396862,0.29882008,-0.25206977,0.96005607,1.1857779,-0.9114569,-1.2220081,0.67502487,-0.41434336,0.13307743,1.1564267,1.376874,0.79680973,-0.8031486,0.6739642,1.0166372,-0.5217877,-0.5215709,0.09976839,-2.1409485,1.2367535,0.8295602,0.7152275,-0.2562402,0.16553015,1.2418703,-0.07906676,0.118211955,-0.6416327,-0.6989694,1.0918729,-0.90901184,-1.1165867,-0.7199093,0.41822335,-0.12355992,-0.20673935,happy
