mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,delta_mean_0,delta_mean_1,delta_mean_2,delta_mean_3,delta_mean_4,delta_mean_5,delta_mean_6,delta_mean_7,delta_mean_8,delta_mean_9,delta_mean_10,delta_mean_11,delta_mean_12,delta_std_0,delta_std_1,delta_std_2,delta_std_3,delta_std_4,delta_std_5,delta_std_6,delta_std_7,delta_std_8,delta_std_9,delta_std_10,delta_std_11,delta_std_12,delta2_mean_0,delta2_mean_1,delta2_mean_2,delta2_mean_3,delta2_mean_4,delta2_mean_5,delta2_mean_6,delta2_mean_7,delta2_mean_8,delta2_mean_9,delta2_mean_10,delta2_mean_11,delta2_mean_12,delta2_std_0,delta2_std_1,delta2_std_2,delta2_std_3,delta2_std_4,delta2_std_5,delta2_std_6,delta2_std_7,delta2_std_8,delta2_std_9,delta2_std_10,delta2_std_11,delta2_std_12,rmse_mean,rmse_std,spec_mean,spec_std,mel_mean,mel_std,emotion
-0.7095367,-0.6468668,-0.8666841,0.03329245,-0.9768083,-0.46725705,0.46158803,0.5242946,0.81428415,-0.37574092,-0.069366746,-0.11342664,-0.3099368,1.2693408,-0.30152547,0.56225705,-0.45430344,-1.0159751,-0.10173059,0.23721972,-0.69287634,-0.14618938,0.07026076,-0.34615776,-0.3882667,0.94681096,-0.07625194,0.12511025,2.4818144,0.34747264,0.906539,0.7101044,0.48186365,-0.56733716,-1.3618562,-1.0229745,0.6874357,0.31014493,-1.4287567,0.66580653,-0.256986,0.08439066,-0.28354496,-1.2611189,-0.26731518,0.7878766,-0.49834397,0.65061724,0.6211869,-0.61005145,-0.32485792,1.0498486,0.6621488,0.1923714,0.07404137,-0.5352291,-0.41375184,0.3172954,-0.8108196,0.23001294,-0.65016824,-0.09059492,0.3655419,-0.4888987,1.0659068,0.45585522,-0.35110885,-0.68122977,0.04462481,-0.6798936,1.0355426,-0.21864128,-1.2557132,-1.0921278,0.116764635,-0.9515489,-0.4231983,-0.104355976,-0.74112153,-0.6644497,-0.48003066,0.6664135,-0.7095389,0.93868726,surprised
-1.0257404,0.23021689,-0.58390445,-0.074537694,-0.6990273,0.061766226,-0.014114388,-0.06998997,0.6350925,0.47172406,-0.20200977,0.47570798,-0.67481595,0.49793747,0.55748516,0.39658782,-0.0027265437,-1.0306967,-1.0765914,-0.2923327,-0.31809816,-0.11253436,-0.8579272,-0.7250731,-1.0072241,0.3409969,0.47202513,1.0573467,-0.6874179,0.57883406,0.46108297,-0.7048341,-0.6063264,-0.42514667,1.2973582,-1.1532474,-0.316007,0.95058036,-1.1072886,-0.07278203,-0.10644858,0.8610054,0.4775197,-1.3081322,-0.89336133,-0.35410148,-0.55984473,1.0548904,0.4001044,-1.2346276,-0.82132787,0.6272987,-1.0662785,0.45546234,-0.12007663,-1.0928351,0.90703624,0.23841412,0.68019825,0.8102611,0.9106972,0.03517521,0.14412928,0.49527472,-0.33958632,-0.27266523,-0.94317603,0.8034889,0.45426622,-0.8925805,-0.9576796,-0.570961,-0.8424056,0.6515562,-0.36226988,-0.72820795,-0.6931377,1.4458523,-0.9766048,-0.8582772,-1.0824175,-0.31474534,-1.0257403,0.44415513,neutral
0.19948739,0.34925863,-0.6938665,-0.06997295,-1.6881909,0.40247688,-0.07422841,-0.9119529,0.093923524,0.67182726,-0.55681074,0.20208056,-1.2831148,0.17075384,0.30678713,0.79647964,1.8640652,0.4428311,0.14700742,0.052633032,1.0324022,0.019828172,0.19528113,-0.060547777,-0.23452939,0.77307516,0.024627205,0.9803111,-0.20477526,0.92919683,1.4360315,-0.056888413,0.2818349,0.06518315,-0.035760038,-1.024129,0.09746312,-0.7885214,-1.7851624,-0.3924049,0.71497625,1.2227405,1.6934568,-0.3112816,0.6184824,-0.3159207,0.8173816,-0.3171839,0.66128224,0.0999059,0.6462206,0.6730753,1.0061136,1.3644923,-0.05492994,0.022654552,0.18978107,-0.87991756,-0.9894584,-1.1705381,-0.31042197,-1.4715724,-1.1797564,-1.7188351,-1.3302609,-0.27500752,0.07782516,1.3007976,1.4562064,-0.054892246,0.46966246,-0.1592635,0.6413639,-0.47478297,1.1984166,0.18341291,1.4707203,0.70694137,-0.8453681,-0.959613,-0.17315249,0.54326963,0.19948763,0.34717172,disgust
-0.46568346,0.18643716,-0.5045533,0.21413861,-1.3018404,0.6894298,-0.103978194,-0.4400657,0.17627867,0.33276048,-0.6230406,0.4854728,-1.1322796,1.0312914,0.4974259,0.05565488,0.4180628,0.3888805,-0.99522257,-0.33530805,0.98484665,-0.35347033,0.06833657,-0.18532708,-0.5861657,0.35913092,-0.13831973,1.3812362,-0.85711926,0.8112945,2.1790566,-0.077221,0.029231912,0.8353918,1.0925344,-1.2727927,0.81206435,0.93305284,-0.8851968,-0.64806587,0.13751519,0.021557245,-0.27881372,-0.24468379,-0.7752319,-1.1563753,1.1788224,-0.72973084,1.1509181,-1.1758415,-0.36300382,-0.30183306,0.24418546,1.4281383,-1.9640769,0.4763467,-0.5302447,-0.98876464,-1.0475308,-0.72781247,0.18749635,-0.29957336,-0.6792427,0.17410597,-1.3780719,-1.0360271,0.75612116,1.0537351,0.21458097,-0.66293573,-0.55956185,-0.8376695,1.3183461,-0.055006273,1.1920507,-0.34693673,0.5374543,-0.41277084,-0.6887983,-0.61205506,-0.8043656,0.79465723,-0.46568462,0.9850771,disgust
-1.0033919,0.29467058,-0.68572366,-0.5287709,-0.80889386,0.075220905,-0.21399629,-0.3740039,0.18741472,0.039251592,-0.39625853,0.18406789,-1.0537411,0.5757195,0.87278926,1.5262188,-0.21077655,-0.40724972,-0.6895721,0.07592158,-0.23476735,-0.18944015,-0.057079677,-0.86984473,-0.110417105,0.7169828,-1.2696543,-0.35914582,0.082279146,-0.92004144,0.54561,0.14055783,1.8331684,1.5446717,-0.43959653,0.4716324,0.18921664,0.39381847,0.349897,-0.6293239,1.0042325,1.8660526,0.29336447,-0.7302829,-0.4867868,0.95936406,-0.8507939,0.106239565,0.26077613,-1.8604541,0.26874253,0.49229825,-0.26810184,-0.25644615,1.7216787,0.6369564,-0.158134,1.4430228,-0.6043084,0.5875078,-0.57489675,-1.7004625,1.593808,-0.30727682,3.113152,-0.8218171,0.8940156,1.1028041,-0.6168834,-0.4514327,-0.1643612,-0.036863357,-0.047804687,-0.20559613,0.33432728,-0.09686206,-0.4613382,0.51548463,-0.7679412,-0.6827939,-1.3227435,0.4765414,-1.0033903,0.8193392,neutral
-1.0767933,-2.0856848,-1.4102234,-1.5308194,-1.4144846,-0.87038183,0.022738159,-0.46537122,-0.16779679,-0.9975049,-1.1516031,0.17850292,-1.6872481,-0.42164367,-1.931549,1.8818892,-1.2916487,0.20151563,0.11992471,-0.36446336,-0.0045229644,0.14473157,0.33312115,1.1086063,-0.14538842,2.6649137,0.383035,0.5782521,-1.4882983,-0.10270132,0.28957558,-0.8704068,1.2532077,-0.84463483,0.09548055,-0.15758431,-0.29551467,-1.1010995,-0.6441469,-0.71490544,-0.9983519,1.9291409,-0.29891026,-1.0705296,-0.8682577,0.5279231,-1.1303879,-0.06960821,-0.34549356,-0.6917678,0.36237007,2.1391394,-0.6326227,-0.070864685,1.3022525,0.3185111,0.18861622,-0.18919635,-0.21309116,-0.01568883,0.5743218,-1.0041921,0.87117064,0.9285285,2.123853,-0.8339419,-0.7678769,0.87995434,-1.2352512,-1.0466675,-0.6018057,0.58281296,-1.1807091,-1.1165583,-0.9208735,-1.264873,-0.121882826,1.2388934,-0.8921523,-0.9614496,-0.6633772,-0.14928381,-1.0767905,-0.71968025,fearful
-0.63933206,-0.06592143,0.09285169,-0.2448501,-0.53475195,0.16894685,-0.5988238,-0.5082416,0.66550136,-0.024648072,-0.564938,0.14875759,-1.0207719,-2.3043144,-0.0890812,-0.043284018,-0.70063376,-1.1336327,-1.2342238,0.0481807,0.063749544,-0.61996925,-0.60154814,-0.8388481,-0.34377876,0.34687623,0.37764,-0.30881643,-0.17888427,-0.6771026,1.1244711,0.14204194,0.5587889,1.073609,-1.7785925,-0.008358125,0.7074016,0.27071163,0.14068535,-1.4788055,-0.3910486,0.45584905,0.108776376,-1.5486947,-1.07797,-0.037379123,-0.8320171,-0.07654928,-0.5578738,-1.4110495,0.057166405,-0.033480853,-0.81086177,-0.8723248,0.6818812,0.42430252,0.37675816,-0.2715267,0.79618746,0.8241035,-0.68188906,-0.68958664,0.8257025,1.4919733,2.2025712,-0.89103806,0.0018951618,0.16732104,0.1588868,-1.1499586,-0.8689109,0.28037676,-0.19405346,-0.39433318,-0.49494696,-0.91417646,-0.55022043,-0.25747535,-0.9884723,-0.94183105,-0.4465355,-2.5458045,-0.6393339,-2.3027234,sad
-0.32403097,0.007902546,-0.62584984,0.39483634,-0.859136,0.1936846,-0.027878748,0.18247634,0.89696825,0.11326828,0.10515982,0.36709562,-0.7866442,-0.086173005,0.5523016,0.68957055,0.79590887,-0.25623986,-0.6472759,-0.13257176,-0.7171597,-0.48549652,-0.44863382,-1.4469043,-0.80840373,0.70576096,1.1632383,2.2246819,-0.80620843,-0.50396645,2.5723884,-2.4006145,-0.0034223374,-0.47165975,-0.9227233,-0.3630338,0.22703165,-0.088178575,-1.0034446,0.59045124,-0.18914314,0.766099,1.7045977,-0.50518274,-0.78458357,-0.22941779,-1.0400475,1.0213003,0.13104928,-1.9754426,-0.07804949,0.3259635,1.3824981,0.26415002,-0.35989118,0.009516462,-0.7019015,-0.3558608,-0.55545795,-0.3523367,-0.5102894,-0.35296413,0.051698152,-0.49349514,-0.1621596,-0.09670799,-0.5128112,1.3307945,1.1485116,-0.5862535,-0.7644807,-0.9136261,-0.5493156,0.5584672,0.16359891,-1.5302393,-0.61613744,1.1653615,-0.49890214,-0.30244905,-0.46798027,-0.37338203,-0.32403213,-0.09494787,neutral
0.5992694,0.4198686,-0.34546024,0.35256973,-0.7584154,0.33652556,0.16688557,-0.22536111,0.9547193,-0.17491347,0.035976753,-0.87979174,-0.763641,-0.48457626,-0.23769297,0.25948367,-0.24982703,-0.3242991,-0.66325593,-0.24590579,-0.7939828,-0.6464098,-0.24956796,-0.9764084,0.37601224,-0.10368992,-0.1391159,0.75589395,-0.45584255,0.35385305,1.5334809,-0.6330166,-0.57227635,-0.028563963,-0.4071201,-2.0202227,0.20810094,0.2772604,-1.6123829,-1.0727161,-0.58021986,0.57806575,0.01634692,-0.8126658,0.038475253,-0.09437507,-1.6246028,0.024962623,0.69693524,-1.1245475,-0.120122656,-0.057462517,0.14215957,0.83502555,-0.78560615,-0.6437192,0.15015616,-0.12340779,0.063029185,-1.4722878,0.07505416,-0.3517056,1.3759562,0.6132894,0.2865358,-0.8426744,-0.845904,0.3382991,-0.23650119,-1.0077342,-0.3214589,-0.07725026,-1.2848747,-0.4307388,0.2841233,-0.26610336,-0.32400265,-0.7820055,0.8521653,0.7082911,0.46226206,-0.82818884,0.59926844,-0.4158974,calm
-1.4218585,-0.26555207,-1.2800694,0.124169454,-0.87633765,-0.09756183,0.4345138,-0.59103024,0.8353111,-0.20783348,-0.2937575,0.51685935,-1.4417953,-0.045148235,-0.12111656,1.3665324,-0.36741477,-0.34811398,-0.49395573,-0.34969747,0.43914643,-0.37665352,-0.4946929,-0.3345086,-0.36814386,1.249045,-0.32900247,0.76263326,-0.22739671,0.379967,0.51354253,-0.43722498,0.43112016,0.26426512,1.8568214,-1.187196,-1.1298044,-0.27886418,-1.3503491,-0.043138266,-1.1202043,0.7756897,-0.32125768,-0.2592692,-0.5953359,0.05216967,-0.61662537,0.39964822,-0.12780951,-0.4162554,0.04341073,0.6757614,-0.1895061,-0.48822132,-0.28112152,-0.8988832,0.1483471,0.6273617,-0.09050209,-0.20591503,-0.2699937,1.0547272,0.32445467,-0.13834666,-0.8845404,-0.36190766,-2.2713985,0.76354164,0.26625532,0.1618726,-0.6835618,-0.5040841,0.6204539,-0.39805436,-0.35816056,-1.0545207,-0.81585115,0.68097854,-1.4779717,-1.4089311,-1.4854567,-0.5584132,-1.4218585,-0.0826013,happy
